rank,lang
8 kyu,PHP
6 kyu,PHP
7 kyu,PHP
7 kyu,PHP
7 kyu,PHP
6 kyu,PHP
7 kyu,PHP
6 kyu,PHP
6 kyu,PHP
7 kyu,PHP
7 kyu,PHP
7 kyu,PHP
7 kyu,PHP
6 kyu,PHP
Beta,PHP
6 kyu,PHP
6 kyu,PHP
Beta,PHP
6 kyu,PHP
5 kyu,PHP
6 kyu,PHP
6 kyu,PHP
6 kyu,Javascript
6 kyu,PHP
7 kyu,PHP
5 kyu,PHP
6 kyu,PHP
4 kyu,PHP
6 kyu,PHP
4 kyu,PHP
5 kyu,Javascript
6 kyu,Javascript
5 kyu,Javascript
4 kyu,Javascript
8 kyu,Ruby
7 kyu,Ruby
7 kyu,Ruby
7 kyu,Ruby
6 kyu,Ruby
8 kyu,Ruby
4 kyu,Javascript
7 kyu,Ruby
6 kyu,Ruby
6 kyu,Ruby
6 kyu,Ruby
5 kyu,Ruby
5 kyu,Ruby
5 kyu,Ruby
6 kyu,Ruby
6 kyu,Ruby
6 kyu,Ruby
6 kyu,Ruby
6 kyu,Ruby
4 kyu,PHP
7 kyu,Python
6 kyu,Javascript
6 kyu,Python
7 kyu,Javascript
6 kyu,Ruby
5 kyu,Javascript
6 kyu,Ruby
5 kyu,Ruby
6 kyu,"Ruby, Python"
6 kyu,Ruby
4 kyu,Ruby
7 kyu,Ruby
6 kyu,Ruby
7 kyu,PHP
7 kyu,Python
7 kyu,PHP
7 kyu,Ruby
6 kyu,Ruby
5 kyu,Ruby
4 kyu,PHP
6 kyu,Javascript
7 kyu,Python
6 kyu,Javascript
7 kyu,Javascript
6 kyu,Javascript
6 kyu,Ruby
6 kyu,Ruby
6 kyu,Ruby
6 kyu,Python
5 kyu,Ruby
7 kyu,Javascript
6 kyu,Javascript
5 kyu,PHP
6 kyu,Javascript
6 kyu,Javascript
4 kyu,Javascript
3 kyu,Javascript
5 kyu,Ruby
8 kyu,SQL
7 kyu,Python
7 kyu,Ruby
6 kyu,Python
5 kyu,Python
5 kyu,Ruby
7 kyu,PHP
6 kyu,Ruby
6 kyu,Ruby
7 kyu,Python
6 kyu,Python
Beta,Javascript
8 kyu,SQL
8 kyu,SQL
8 kyu,SQL
7 kyu,SQL
6 kyu,SQL
6 kyu,SQL
6 kyu,SQL
8 kyu,Python
6 kyu,Ruby
6 kyu,Ruby
5 kyu,Python
4 kyu,Ruby
4 kyu,Ruby
6 kyu,Ruby
5 kyu,PHP
7 kyu,SQL
8 kyu,SQL
7 kyu,SQL
4 kyu,Ruby
6 kyu,Javascript
4 kyu,Javascript
6 kyu,SQL
6 kyu,Javascript
7 kyu,Ruby
6 kyu,Ruby
6 kyu,Javascript
4 kyu,Python
7 kyu,SQL
8 kyu,SQL
7 kyu,SQL
6 kyu,SQL
6 kyu,SQL
6 kyu,SQL
4 kyu,Python
4 kyu,Python
4 kyu,Python
Beta,Python
5 kyu,Python
3 kyu,Python
5 kyu,"Ruby, Javascript"
6 kyu,Javascript
4 kyu,Javascript
7 kyu,Ruby
7 kyu,Ruby
5 kyu,Ruby
7 kyu,Javascript
Beta,Javascript
4 kyu,Javascript
6 kyu,Python
4 kyu,Python
7 kyu,Javascript
6 kyu,PHP
6 kyu,PHP
5 kyu,Python
4 kyu,Python
6 kyu,SQL
5 kyu,SQL
6 kyu,Python
4 kyu,Python
4 kyu,Python
6 kyu,Ruby
2 kyu,Ruby
Beta,Javascript
7 kyu,Javascript
6 kyu,Ruby
5 kyu,Ruby
Beta,PHP
6 kyu,Python
4 kyu,Javascript
Beta,Javascript
Beta,Python
5 kyu,Python
4 kyu,Python
3 kyu,Python
6 kyu,Ruby
6 kyu,Python
Beta,Python
Beta,Ruby
Beta,Python
5 kyu,PHP
Beta,Python
4 kyu,PHP
5 kyu,Python
Beta,Javascript
5 kyu,Python
Beta,PHP
6 kyu,Python
6 kyu,Python
6 kyu,Javascript
5 kyu,Ruby
5 kyu,Ruby
6 kyu,Python
3 kyu,Javascript
5 kyu,PHP
5 kyu,Ruby
6 kyu,PHP
6 kyu,Python
7 kyu,Javascript
